Tweet	Labels
India can extend lockdown but can not extend it beyond one month so be prepared to test test and treat!! coronavirus	3 4 9
aub professors vs making every assignment about fucking corona	6
Being quarantined with my mom or getting corona... thats a hard one . Not sure which one	5 10
May the Lord bless and protect the whole world from this Corona Virus. Apri.will be a wonderful month.	0 2
as corona centre is the swimo open jii solar nayo one needs self quarantine kwa hio pool !	5 6 10
"186 new recoveries in China totaling 76,238 in this place. Already 178,330 worldwide. coronavirus covid19 China"	8
my friend rlly changed her name to corona virus smh why am i alive	10
After this Coronavirus lockdown ends please continue to stay at least 6ft away from me.	4 10
i would like to thank the creators of Cooking Mama and Food Netork for preparing me for COVID19	10
May Allah save us from corona and end this frightening pandemic quickly so we can restore order in the world.	2
Is this man sick? There is somthing seriously wrong with his thoight pattern growupDonald Covid_19	3 6
811. Thats the number of deaths reported today bc of the coronavirus. Tf are we doing? STAY THE FUCK HOME	4 6
Ight goodnight y'all Coronavirus got us acting like a fool at this point. Me especially.	4 6 9
This corona situation deadass has me and the homies saying hop on zoom	10
Such a stupid joke Kim Jaejoong WE ALL KNOW COVID19 IS A BIG ISSUE. DON'T NEED YOUR F*CKING REMIND!!!	6
I feel like Ebola was so overblown by the media at the time that no one took COVID19 seriously. Remember the boy who cried wolf?	7 9
This is the only 1st April I can talk to people freely. Don't April fool people. Don't spread false news. COVID19 COVIDIOTS	6 10
"coronavirus slowing down my move, this shit needs to get tf asap."	6 10
As if people didn't know Corona virus was a big issue. There's almost a million cases worldwide.	6 9
"For once in a while, Im proud to say that Im one of the few who has masturbated only once during the Corona Virus Season."	0 10
The coronavirus and big earthquakes remind us that a higher power will always be in control	0 2 7 9
watch this. 95% of april fools jokes today are corona related or self depreciating	6 9
Congratulations Corona has come to India and converted to Islam ... Dalal Media taught Kalma.	3 6 10
US academic suggests withholding coronavirus treatment from political opponents. Whats the word for that again?	6 9
"Stay at home. COVID19 Update: Country: Norway Total Cases: 4,641 Total Deaths: 39 Total Recovered: 13 Total Active Cases: 4,589"	8
OnMyRadar Premium Motor Spirit (PMS/Petrol ) is now 123.50 per litre! Thanks to COVID19	0 1 9
Madhya Pradesh: A 65-year-old man who tested positive for COVID19 passed away in Indore today.	5 8
Coronavirus should also be lethal to those influencers who tried to get it. Lord Darwin decides there needs to be a culling	6 10
my bdays tomorrow im not getting birthday coochie smh.. count your days corona u dumb bitch	6
Mom just called and had a breakdown on the phone bc she works in medicine and coronavirus is driving them mad	4 6
"Now that its April Fools Day, this coronavirus shit was a joke right?"	9 10
Lets be real tik tok is the real thing thats behind corona	10
Youll get the same support that you gave Corona patients in blue states!	0 1 6 7
"Ignore this headline because it has nothing to do with the video, the spread of coronavirus throughout CA in 2 mos."	4 8 9
yooo lu4 lot stay safe and at home cos theres a person positive w corona	4
STOP EXPECTING ESSENTIAL WORKERS TO PUT THEMSELVES AT RISK WITHOUT PROPER PROTECTIONS IN PLACE COVID19	6 9
ELEVEN cases of the coronavirus in reseda and TWENTY SIX in encino. make it stop.	4
I know its the 1st of April but this Tory government is a complete joke! GTTO COVID19	6
"April 1st today... Im waiting for the news to announce APRIL FOOLS corona dont exist, its 5G skjsksjjsj"	4 10
If anyone of you make an April fools joke about the corona virus go lick a toilet and live in a cave till you learn some manners.	6 10
Koreaboo istg. I almost cursed at your article about covid19. But it's true though. It has a ig link	1 5 6
Ight government its April fools now yall can say sike now bout corona	0 10
"Just woke up from my coma, corona come out with a new flavor called covaid or something?"	4 5 10
BREAKING Australia's coronavirus death toll has risen to 21 after a person passed away at Orange Base Hospital.	8
yo it's april fools why the corona virus still a thing hahaha....	10
Africa is so far spared of COVID19. The lowest cases in every continent.	0 8
im definitely telling the future generations that i attended class in the midst of a pandemic WorkFromHome COVID19	0 6 10
Were about to make a whole new generation called corona-boomers smh	5 10
I can guarantee if you put a Caribbean mother or grandmother in a lab for 24hrs she will conjure up a vaccine for the Corona	10
When all this corona bs is done Im going to every country concert I can	0
i ordered a bathing suit to what swim in my bath cant do nth with this corona	10
The Coronavirus should bring us to our knees and cause us to ask the Lord for clean hearts	2 9
This coronavirus has us in a bad way lol omg i cant wait till this crap is done.	4 6 10
"10,000 dollars says some idiot makes an April fools joke about Corona Virus"	6 10
Seriously look forward to these every day! Thanks for making us laugh everyday during coronavirus	0 1
The two doctors held hostage in Limpopo by have now tested negative for corona virus.	8
"No April fool today o, Corona is enough already"	5 6
Trump urges Florida to welcome cruise ship with deadly coronavirus outbreak US RTGNews	8
I dont think anyone should hesitate now to call it the CHINESE VIRUS! coronavirus covid2019	6 9 10
Police scared of the corona too....Ive barley seen them since this mess started. You good	4 9
Doing my budget and paying bills is the only thing keeping me sane right now. Im not joking. Covid19	0 4 9 10
By the time corona will leave and Trudeau will ask all of us to start paying back this free money ehn	10
"I better not get a single I got Corona April fools joke tomorrow... cause hunny, it aint funny!"	6 10
Rx (Medicate)-Theory of a Deadman is literally the theme song to the coronavirus epidemic.	3 9 10
Why aren't any Indian Media folks getting corona +ve? Right time for them die. Need to pray harder!!	2 6
I dunno about you but Im looking forward to the COVID19 episode of South Park.... StayHome	0 10
We are now scared of rain oo Hot weather is the best in this corona season 1	4
my ex's dad is in the icu w corona and i'm so sad. i hate that he hates me cause i wanna check up on him	4 5
"Almost Ww3 , then the Australian wildfire , now corona , God just b bored now huh"	5 10
SG says the COVID19 pandemic is the most challenging crisis we have faced since the Second World War.	5 8
Grandpa just called me and said Syd the second this corona thing is done with I am going to drive to any casino as fast as I can	0 10
Ilanga lami lokucala emsebenzini ...and thanks to coronavirus it will be me meeting everyone over video calls....here we go!!	10
I keep feeling like this is the longest dream and were gonna wake up one day when covid19 isnt gonna be a thing anymore.	0 3 5
Has anyone thought about how Corona might be like the movies and we just gotta find who started the thing?	0 3 9 10
"Coronavirus cases in the US: March 1, 2020 - 1 March 31, 2020 - 188,578"	3 8
And heres all you need to know about the way COVID19 has impacted Asian football. Nice one !	5 8 9
"IS THE MOST DISRESPECTFUL ROACH ON PLANET EARTH, I SAY CORONA TAKES HER FIRST"	5 6
I am sure this paid media will be doomed after corona crisis in Pakistan and it will be a very good omen for Pakistsn.	7 9
"Awful late in the game when your the global hub for the Corona invasion, jus sayin"	3 6
The Boston Globe holds the US President directly responsible for the coronavirus crisis in the country.	6 8 9
Thanks u honorable cm of Karnataka to given entire year's salary to fight coronavirus	1
Cover Me Up by just makes me want to fall in love and the coronavirus is ruining that for me!!	5 10
"If alcohol based hand sanitizer kills coronavirus, why cant we drink to cure it?"	3 10
Yesterday's anniversary dinner was one for the books. coronavirus couldn't stop the celebration!	0
Which one of friends owns a company that makes ventilators? 25thAmendment coronavirus lookintothat	9
"Haiku/Senryu Apr 8 Empty sidewalks, cars idle - where have people gone? Coronavirus."	5 9
Im so the opposite of a hypochondriac. Ill get coronavirus and be like its just a cold	0 10
Due to Corona situation you have lot of time. Please give 5 mins of your time. It will change my life. 9003223583.	0 5
wtf so that jaejoong guy lied about having corona for april fools how stupid u gotta be...	6
If corona get weh a Bermuda the realest way nobody nah lef ova deh	0 4 10
"Is the right response to coronavirus in NH to go to online voter registration, mail-in voting and no-ID balloting?"	4 7 9
Trump is somehow going to spin this Corona virus disaster into a landslide victory in November	0 1 7 10
my brain switches from Cardi Bs CORONA VIRUS to dont be suspicious DONT BE SUSPICIOUS at least 100x a day and thats on periodt	6 10
Think about all the essays that professors/teachers are gunna make us write about coronavirus	9 10
"I'm avoiding Corona, but steering directly into a triple bypass."	3 4
The Chinese Govt. just released the name of the citizen from Wuhan who was the first carrier of corona virus. His name was Lay Lee Sub Kee	8
corona: *taking over the world cozing a major danger for the human race* minsik being minsik:	4 10
"80 new cases and 10 new deaths in Georgia, United States. coronavirus COVID19 CoronavirusOutbreak CoronaVirusUpdates"	8
When Lawernce Phillups escapes from jail cause he don't want that Corona Virus	10
@ usa government tomorrow is april fools tell us all this corona quarantine shit a joke so we could get back to our normal lives	0 3 4 5 10
"She taste like Corona light , sweet . Even the gotta squeeze"	10
hoping tomorrow they announce that the coronavirus was just an April fools joke and we can all go back to normal... i miss going on walks	0 5 6
"the corona virus just brought humanity closer, theres never been this many people cooperating at once."	0 1
My mom just brought onions into my room for corona virus disinfectant this WhatsApp african mothers cult needs to end	5 10
"Anyone with signs of Coronavirus, or even the flu, I hope throws away their toothbrushes, use the desposable ones during this pandemic."	0 9 10
"Is it possible to put aside our differences until the coronavirus is under control, then we can return to our petty behavior."	0 3
Cant wait for April fools tomorrow. They are finally going to tell us this corona virus was all a joke.	0 3 10
"I guess nows the perfect time to tell you all, I have the Coronavirus. Im not April fooling your ass ;)"	3 10
My sisters grandma died from corona today yall pls be safe !	2 4 5
I Feel Like I Cant Get Corona. Thats Just Me. It Doesnt Exist In My World.	0 4 10
Let me know if it keeps the coronavirus away. Might be worth the try	0 2 10
"Maybe he can throw corona-chan down a flight of stairs? You know, wreck her shit."	9 10
'No test is better than a bad test.' Did I really just hear that What happened to us. COVID19	4 6 10
I woke up scared that I missed my conference call Not cool WorkFromHome QuaratineLife COVID19	4 6
"Star Wars actor Andrew Jack has died in Britain as a result of the coronavirus, his agent said on Wednesday. He was 76."	5 9
Trish Regan was one of the first people to really put emphasis on Coronavirus.	1 8
"Covid19 still rising over the horizon, people should really take more precaution, don't ignore govt warnings instructions!"	1 4
Everyones gonna die soon from corona shits just getting worse everyday	3
April must prove us that coronavirus is just a joke and let us go on with our usual lives again	0 5
"Now Playing on 234Radio, Lionel Richie - Cinderella. Together, we can defeat coronavirus disease (COVID-19) LetsFightCovid19 CovidNGR"	0 8
okay so when do we find out that the corona virus has all been a long running april fools joke then	9 10
"After taking d coronavirus test with several other of my colleagues,the results came out NEGATIVE but just mine was POSITIVE CONVID19"	5 9
I think I'm falling back in to a bad depression because of the coronavirus quarantine thing :( ahh	3 5
Lets get Hydroxychloroquine and Azithromycin out there for everyone who needs it and stop baby stepping the process coronavirus	0 6 8
WW4 for real like they could never imagine!!! Yall think corona shut the world down. Watch how skiti play lol	8 10
fuck fuck FUCK! They said half of Tucson is gonna be infected with coronavirus sooner or later.	4 6
Man i just wanted to go to mex sip on some Buchanans eating fire ass sea food listening to live music. Puta corona	5 6
This guy on tinder just said he wants to get Corona cause he wants experience it EXCUSE ME WHAT	6 10
"Im so sorry,my heart goes out to all who have had love ones taken by this corona virus."	0 2 5
"Una too like quarrel for this place. Artistes are trying to give us fun in these Corona times, una dey set blow everywhere..."	0 1 10
HSN selling stuff with subtle hints at the Corona apocalypse is pretty entertaining	0 6
"Everyone is suddenly an expert on Yellowstone, volcanos and earthquakes. Bet they're also coronavirus experts too."	6 9
Its times like these when I wonder how South Park is gonna make fun of Coronavirus	9 10
"Okay, Ive got to DO SOMETHING with this weight gain. Corona, GO AWAY."	5 6 10
I can't wait for the South park take on the coronavirus. So many people about to get blasted.	6 9 10
I still cant say corona virus with out laughing Im a piece of shit	10
What if tomorrow the government is like APRIL FOOLS aint no corona virus ...	0 10
Wasn't the apocalypse supposed to arrive much later than that? stayhome COVID19	3 10
Coronavirus aka Mad Dogg 2020 is messing up a shit ton of money for me... I'm losing money day by day. CoronavirusUSA Coronavirus	5 6
The Coronavirus has been the perfect distraction from the Treason committed by The Democrat Party and The Obama Administration.	7 8
"8The wicked walk on every side, when the vilest men are exalted. Judgement coronavirus It rains on the rich and the poor."	0 3 5
Stay at home. No caravan parks No West Cork No Brittas PEOPLE ARE DYING. YES.. DYING. COVID19	0 4 6
Today is AprilFoolsDay The Chinese made a joke we didnt get. The earth is laughing now. Covid_19	10
Quebec has used a year's worth of medical supplies in 4 weeks. COVID19 They are running low.	3 4
"Pentagon orders installations to stop reporting coronavirus cases as military-linked infections eclipse 1,000"	5 8 9
"Well, the ones that still have JOBS and aren't on some kind of idiotic HouseArrest coronavirus bullshit."	6 10
Waiting till tommorow for god to tell us that this whole corona virus is part of his april fools joke	0 10
Trust PF of company can give 75% pf withdrawal in CORONA crisis Please confirm sir Central epf commissioner of India	0 4 9
I miss my mum so bad. If it wasn't for this corona nonsense I just know she'd fly me out	5 6
Lmaooo my little brother heard my mom cough and he goes mommy has the corona virus	10
my mom just told me to not go outside the house for dick... it might have corona LMAOOO	10
"Breaking FoxNews Alert : Coronavirus death toll in US reaches 4,000"	8
Thank you corona virus for the discounts. I just bought something Ive been wanting for a long time	1 10
"Fuck that, aint these the shits that started this whole Corona shit? Que se jodan"	6
Anyone who even attempts a corona-virus related April fools joke should be put in jail for at least a year	6
What would yall do if the government lied about corona and said April foolson the news?	9 10
"online school? i dont think so, f it dropping out and becoming a stipper.... o wait corona virus, nvm."	3 9 10
"My abuelito is already planning a carne asada for us when this Corona shit over, and was very adamant about getting blackout drunk."	0 4 10
This COVID19 is serious especially in New York Im seeing to many deaths on my timeline	4 5 9
"Emoji races round 3 is now live, this will be are entertainment until the quarantine for corona is over. winner moves on to the next race!"	0 10
Idea for bringing back sports in these corona times: sports go ahead as usual. But every player is inside a zorb. I WOULD WATCH THAT.	3 10
Coronavirus will hurt the west like SARS hurt the asian area in the past.	3 4 8
Great to see the work of the metals industry and our member companies in tackling the COVID-19 crisis	0 1
Yall my orthodontist is closed due to corona virus.. i was suppose to get my braces off this month	5 6
COVID19 COVID_19 COVID2019 How many people need to die to let you know that China cannot believe .	5 6 7
this corona thing is blocking my fitness goals. how else am i going to pick up VR anime waifus if im not shredded	5 6 10
next time my teacher post something imma tell her i got corona .	5 10
I am a carer still waiting for money for gas electric food been forced to wait weeks COVID19	4 6
"I might have corona virus and no this isnt an April fools joke, Im scared"	4 6
Corona Virus made most forget to wish each other Happy New Month. Happy New Month Guys. Lets stay Safe and Alive.	0 2 5
Interesting..... Is this a Co-incidence ?? Just Asking.. COVID19 C - Chinese O - Originated V - Virus I - In D - December 19 - 2019	3 9 10
Fuck it. It's a all out super soaker war all coronavirus. They done start some shit they can't finish	6 10
It was must see tv for awhile until the usual suspects took over. COVID19	5 6 9
Somebody go take corona fool today make soldier slap am free.	10
I got a Yankee varsity I havent wore cause I wanted to wear it to a Mets game or a Yankee game corona me daio la grasa	1 5 6
Someone needs to find this anti-vaxxer and throw her a covid19 party.	10
COVID-19 authoritarian power grab. Nervous this will become a trend. These powers dont cede when the crisis does...	3 4 6
My momma said today was my last day hanging out with because of this coronavirus	5 10
Nigeria is a badly written film so now I am sure all the funds donated for COVID19 were burnt ?	6 10
Have added to my Breaking News public Twitter List: Coronavirus COVID19	8 9
"Have you or anyone you know been affected by COVID-19 (tested positive, recovered, passed away)? coronavirus COVID19 Covid_19"	0 8 9
Me and my wife decided to buy paper plates to eat on since apparently the Coronavirus comes from china	0 3 7 9 10
COVID-19 in Cameroon: Calling for the use of mask for everyone going out: Thank you Mr Minister !	1 3
"coronavirus update: 1,430+ confirmed cases in WI. 710 confirmed cases in Milwaukee."	8
Coronavirus really flipped my life upside down but Im trying to stay positive	0 5
I wish you would get corona and go the fuck away	0 6
"The corona virus make you lose your sense of taste, and yall are still fat"	5 10
I dont typically get into conspiracy theories but I heard Netflix started the Coronavirus so wed all fuckin binge watch the Tiger King	5 9 10
You know times are tough When the most exciting thing In your day will be an Asda delivery covid19 day5isolation	0 3 5 10
Delhi: A doctor working at a Delhi government hospital has tested positive for COVID19.	1 5 8
Man I got money but not enough!! Im ready for corona to pass .	0 6
Total agreement except many here are buying the nonsense and are terrified of covid19.	7 10
Calling Corona Virus rona like she the nastiest little girl in the 5th grade. coronavirusmemes 5G	10
So he is the one who applauded and broke the minutes silence for covid19 victims. Shame on you Jordan	6
The amount of papers Ive had to write about Coronavirus at this point youd think some student wouldve cured this shit by now	3 6
"Deaths have decreased in 5 in World totaling 83,103 in this place. Already 166,211 worldwide. coronavirus covid19 World"	8
Muslim shameless thu bloody coronavirus carriers from all Muslim countries to India	6 7
"If only Corona took those adding zero value like thirsty desperate Tik Tok dancers, 5G tin hatters, or Bomboclaat melts."	6
My mom is mad because due to the coronavirus she cant go get her nails done ..... trust me sis I GET IT	10
people who dont flash their lights to warn of cops deserve to get corona.	6 10
suffers biggest one-day spike in confirmed COVID19 cases. 15 new cases. 68 total now. StayHomeSaveLives	8
"No new case of COVID19 in Rajasthan, as of 9 am today; State Tally still at 93."	5 8
Hockey India contributes Rs 21 Lakh towards Odisha CM Relief Fund to fight against COVID19 pandemic. IndiaFightsCornona	0 8
China coronavirus numbers running late today. NHC is expected to disclose further data on asymptomatic patients.	7 8
"Im not getting that coronavirus test, bitch ya not sticking no shit up my nose to my brain"	4 6
You know most of those single mum's out there are loving using this corona shit as their reason to not let the dad's see their kids	5 6
Vegas is so empty that we're about to have a Dead Rising 2 2.0 corona boogaloo	10
Coronavirus takeout the best and the worst all humans. This is the worst of all I saw thus far.	3 5 6
Getting into this final quarter has me feeling about ball I havent felt in what feels like forever fuck 2020 fuck coronavirus ffs	5 6
ok america.. yall can tell us april fools for corona now.	10
What if the gov is like April fools corona aint even real and everyone who died comes back to life cuz theyre paid actors	10
Anyone who ever consumed homemade cider has a natural immunity to coronavirus	10
Our pastors are waiting for the exit of the Coronavirusin order to heal the sickEi Ghana	10
all jokes aside the coronavirus is really starting to hit too close to home PLEASE STAY INSIDE	0 4
Imagine this whole thing was April fools joke by majority of countries COVID19	0 10
Im calling it someone is gonna do a Cure for coronavirus April Fools Joke	0 6 10
God wont give me coronavirus bc he dont want want me to have all that clout	0 9 10
Does anyone know if jameelajamil is OK during the coronavirus COVID19 crisis?	4
If you grew up with your mom taking your broke ass to a park to run around in the fountains youre immune to coronavirus	10
Corona virus is april fool. Now everybody is get back to working.	7 10
ight corona its april fools you can tell us it was all a joke now	10
Bro but what if the world said April Fools and the Rona ends AprilFoolsDay rona coronavirus	9 10
The coronavirus has been good for the general health of the population and has done wonders for just about everyone	0 1 10
"During this corona period, youre still breaking up with your boyfriend?? Some girls cant make heaven"	6
Im really just waiting on the sick minded individuals who are about to make April Fools jokes about Coronavirus all day tomorrow.	6 10
I request to zee new catch maulana shad and send him in corona virus ward and then test he said truth or not ?	6 9
"Hey, I'm a designer out of a job, and recently recovered from coronavirus. Do you need seamstresses to make masks?"	8 9 10
Third of Britons and the rest of UK What do you think of mainstream news media's coverage of the COVID19 since January 2020?	9
Summer classes are probably going to be all online too what yall wanna bet. coronavirus coronavirus	3 9 10
"Can yall stop saying you have corona jokingly because its April Fools ?? Theres people that are dying out there, Kim."	5 6
Prime Minister Of Pakistan Imran Khan Passed Away Due To Corona. AprilFoolsDay	4 10
January - WW3 February- Kobe passes away March- Corona virus April-	5 6 9 10
coronavirus was invented by the government so that everyone would be home and the gov would get accurate census results	0 10
"Corona shall pass over I declare it , cause God dont put ya through anything you cant bear."	0 2
"Yeah, I stay away from Twitter again. I can't take the coronavirus jokes anymore. Super anxious already"	4 6
I can see the after Corona turn up lasting about a month for me...I'll be back in the house like I was	0 3 10
If Coronavirus gets peak my Walking Dead Fans know what Lucille is on.	10
I was half way through my lab report and my computer crashed ..... guess who never hit the save button OnlineClasses coronavirus	5 6
ABC Karvelas interviewing NSW AG re Corona and Social Distancing. Not a word or question re Ruby Princess.	3 6 9
"If you need to cough or sneeze, always do it into the crook of your elbow. COVID19 Pandemic"	0 4 8
Corona Virus entered thru Zairen from Iran not from Tabligi Jamat	6 7 9
Why make a fuss about what the president said before and after corona virus enters the philippines?	6 9
Its April already. Baba we ask for coronavirus to go. Please heal our land	2
Aye man please use a condom during these CORONAVIRUS times this the WORST time to have ya shit burnin	10
You gotta be one hating mf to create this coronavirus shit and cancel hot girl summer	6 10
So far there has been 1 death in Kenya due to corona and 2 deaths due to police brutality and recklessness	6
So much I miss her and 2020 was suppose to be for all of the girls comeback but no we got corona Bitch ass	6
"This corona virus is a summer bummer, and made spring have no fling lol"	10
What a good boy! Covid19 doesnt stand a chance with Davis leading the charge!	0 10
Yall late as shit on dis but breathing it def aint gone cure da coronavirus stop lyin	3 6
You have a bad case of TDS. It cant be cured. Coronavirus can be cured. LiberalismIsAMentalDisease	7 10
coronavirus in the USA Blind Faith In Religion Destroys Our Ability To Critically Think For Ourselves...	3 5 10
Im gonna be able to use coronavirus as an excuse for almost everything for the next year or so	3 10
Sierra Leone: First case of coronavirus reported (African Union)	8
Have a feeling this is what itll look like when the gates open at the first race that happens after Corona passes	0 9 10
"Oi my Dad is doing too much with sending everything about coronavirus, every day pics and videos...its cool man, Jesus!"	5 6
would be interested to see a chart of sales of blades during this covid19 working from home period.	0 10
one of my neighbors might have coronavirus but its okay its okay smiling through it al	0 4
"Ventilators. Well. Where to send them? Covid19 patients that die, die with lungs that just quit. Are they afebrile? O2 SATs ok? Help."	5 6 9
How about the place where they are needed most? New York City hospitals. NYC nycoronavirus	3 6 9
Boyfriend is having a virtual dinner with friends. WHO IS THIS PERSON THAT IVE CHOSEN TO LIVE WITH. COVID19 introvertproblems	0 6 10
"Yo Jay, why am I seeing a fucking shit ton of people driving around and just out and about? AskGovInslee coronavirus"	6
Been living with my mom for awhile now. So thankful that my mom is taking care of me during this corona virus!	0 1
bikes will never have been so clean after covid19 and riders never as rusty. Hope you are doing ok.	0 2 4
"I dont think the chaos coronavirus meant to cause was banana bread and bangs, but oh well"	6 10
"If I see any April fools tweets about the coronavirus tomorrow, Im deleting your account"	6
I'm secretly hoping the govt comes out and says Ha! April Fools! We don't have COVID19 in BW!	0 10
Something tells me that B.C. will come to refer to the time Before Coronavirus COVID19	4 10
"my mom just said that bc she didnt want me to go on a cruise to Mexico, corona virus happened lmao"	5 10
"Watching Ridiculousness and losing so many brain cells. If Rob Dyrdek died of Coronavirus, I would simply laugh"	10
Im blaming Environmentalists for the Coronavirus. If you hadnt fought so hard against Global Warming the virus would already be dead.	6 7 9 10
Someone got diagnosed corona at one of the apartments down the street from me This hoe closer than I thought	4 5
Puducherry - 2 new CoronaVirus Cases.. Both returned from NizamuddinMarkaz Total cases - 3 CoronaVirusIndia Corona	5 8
"We had hail and 45mph winds, this earthquake and COVID19 shelter in place orders. Boise has had quite a day!"	0 4 6
hopefully tomorrow they announce the corona virus was just an april fools joke	0 4 5 10
*paige high off her ass on pain medicine* can dogs get corona?	0 4 9 10
you need jesus buddy. im sorry you got the corona. Godbless you	2 5
"Thats...kinda messed up tbh. Dude, you took it too far, covid19 isnt something to joked about."	4 6
people who make social distancing and corona jokes need to be drop kicked.	6 10
Well done for pathetic explanation on about level of coronavirus testing!	0 5 7
@ my daddy telling me we family aint nobody got the corona sound dumb asf	10
"hey, can someone check-in on the kids in cages?? coronavirus"	5
want people to stop saying Chinese Corona Virus and start using the proper term The White Male Virus	6 7
Right now on AT 10... how far can coronavirus travel in the air! 6 or 27ft??	8 10
America just has to be best at everything including number of Coronavirus cases lmao	0 6 10
Opportunity arise in midst of disasters... Corona is coming with solutions to our government	0
My best friend's 3 y.o nephew went into hospital last night with suspected coronavirus. Praying he's ok	2
U ask me everyone got corona virus if you have 5g technology	9 10
Stay safe sir!!! Prayers for you your family!!! StayHomeStaySafe CoronavirusOutbreak	0 2 4
"When? More Than 3,300 Coronavirus Cases in Miami-Dade and Broward, Fla. Total at 6,741"	8
"corona is spreading in India these days, I'm at home during lockdown, bt i don't wanna die before met with BTS"	4 10
After this corona pandemic I'm thinking to take a break and stay at office for a week.	9 10
"apparently a coronavirus symptom is having no taste, good luck to all the youngboy fans"	0 2 10
I wish this corona virus shit was a big April fool. AprilFools April1st	5
I guess young people think theyre immune to coronavirus because of all the Tide-pods they consumed last year.....	10
The Coronavirus has gone too far...my family and I cant even watch wheel of fortune	4 5 6
That idol said he had Coronavirus as an April fools joke nahhhhhhhhhhh man you dont do that	6
This close interaction is positive and beneficial to accelerate the curb the destruction due to corona.	0 1
I'll have a new video out tomorrow to help us prepare during this COVID19 crisis. Enjoy.	0 9
Kushner Announces Doctors HATE Him After He Discovered One Weird Trick To CURE Coronavirus	8 9 10
Mouthwash is hand san for your mouth and I don't know how to feel about it ShowerThoughts StayAtHome coronavirus	5 9 10
StayHomeStaySafe to keep that coronavirus at bay. Lift up a prayer unto the LORD for He hears.	2
today is 1st april i hope corona ends in 14-20 april good luck	0 10
"If this quarantine hasnt had you online shopping or looking at things you want, are you even doing it right?? COVID19"	0 6
so one of my really close friends tested positive for the coronavirus and i honestly dont know what to do...	4 5
Coronavirus got people buying guns like theyre defending their homestead from a zombie apocalypse... the China virus is coming for us!	4 10
imagine throwing a kickback a couple days ago and just now worrying about the corona	4 5 10
Lowkey feel like making a thread cause Im realizing corona messed up a lot more than my classes..	0 5 6 10
Dr Nyo Twan Awng speech for Coronavirus(Covid-19) drnyotwanawng	8 9
So whens the government gonna announce that coronavirus was just an elaborate April fools prank and I can go outside???	9 10
I wish this coronavirus would shrink as fast as the Kardashian noses! pandemic	10
hoping that government will hit us with that april fools joke and tell us that corona was a lie	0 10
Mere village me police corona fund collect kr rahi hy kia pm ne police ko zumedari di hy fund collect krne ki	1 5 8 9
If you make coronavirus jokes on April 1st you're gonna get blocked	6 10
"FATHER, FOR THE SAKE OF THE RIGHTEOUS, DELIVER THE NATIONS OF THE EARTH FROM THE SCOURGE OF CORONAVIRUS Genesis1:26 HAPI NU MONTH"	2
Comparing coronavirus deaths to deaths in war is a stupid thing that people shouldnt do.	6
"I swear , yall better not be doing no stupid coronavirus pranks just because its April Fools Day. That shit aint no joke"	6 10
Cant Breathe. I Love You. The Last Words Of A Nurse Dying From The Coronavirus To His Sister	5 9
100% Bullshit. No way in hell this guy has Coronavirus. Nice play though CNN.. I get it.	0 7
im gone fr stay in the house now im tired of this corona shit	5
Absolutely essential- another group of unsung heroes in the fight against COVID19	0 1
I cant wait for China to tell the world that Corona Virus is April fool AprilFoolsDay	3 10
if coronavirus cancels the Kia Summer Sales Event i am going to be PISSED!!	5 6 10
Yo there are some insurance companies that are still not waiving copays for coronavirus related hospital visits THAT IS NOT OK.	6
Oh hi guys I'm new here please follow me hope every be safe AprilFoolsDay newhere COVID19 PumpRules	0
I keep telling myself I am not going to watch the corona virus press conferences. At least I turned it off before the end.	5 6 10
im scared of catching the Corona virus. ppl i know starting to catch it and complaining they cant breathe.	4
take a shot everytime u see a haha april fools corona is fake joke today ull be wasted by 11 am	3 10
My cousin Shelica really sang Corona drop!! Everything stop!! School dem lock In the phone	6 10
Man with corona who shook Putin's hand says he feels good. A sudden deterioration is anticipated	4 6 9
Goodmorning April! I wish this covid19 thingy is just a part of AprilFoolsDay	0 10
These professors are actually INCONSIDERATE!!! Like do they live in corona free zones?!?!	6 7
Corona virus came around now bitchs selling Pussy on only fans	10
Wyoming now is the only state that has not reported a death from coronavirus. It has reported a total of 120 cases.	0 8
"this is week 3 of wondering why can't we ShutDownUSA already and no, not accepting pro-federalism arguments right now coronavirus"	6
"If things go like this, my death will not be from Coronavirus but from liver damage. lockdown"	3 5
"This kid kuku asked and answered herself. Daddy, I want to go to the pool. Same person. When the corona virus is over."	0 10
Let the kingdom of heaven belong to SILVIA PATRICIA and familia! - Matthew 5.3 coronavirus	2 5
LOL any one see the CNN ratings for Joe Biden's Coronavirus Town Hall last Friday at 8 PM. Less than 2.4 million. Lucky for Biden actually.	10
"Im having a great day. Hopefully there are many more birthdays to come, but none where coronavirus is a part."	0 2
HEY! Shit cannon! This is your fault. COVID19 TrumpPlague TrumpGenocide BoycottTrumpBriefings	6
Mosque all over India are spreading Corona because they are jihadi .Now they are spreading Corona as a Islamic propogand CoronaJihad	6 7 9
Sorry due to corona Im following social distances	5 10
Corona virus during Ramadhan Finally my time has come Please stay indoor while celebrating Ramadhan.	0 2 10
Buy my ticket make sure its corona free and I got you	10
Surely nation clapped at it on 22nd March for the clown's request PMCARES Covid_19india	6 10
I could get tested positive for the Corona virus and my parents would be like wake up early the virus will go away.	0 10
We all have the corona virus and Tiger King is the twisted fever dream that we are all experiencing from it	3 6 10
Find every asshole on social media who is still socializing and call them out COVID19 StayAtHome	6
